Country of birth of person,Years spent in Australia,Age group,Sex,Long-term health condition (LTHC),Number of people reporting LTHC(s),Population,Age-specific percentage of population reporting LTHC(s),Language used at home,Proficiency in spoken English,Region_class,Subregion_class
New Zealand,0–10 years,00–44,Persons,Arthritis,1005.0,100403.0,1.00096610659044,Maori (New Zealand),Not specified,Oceania and Antarctica,New Zealand
New Zealand,0–10 years,00–44,Male,Arthritis,453.0,50915.0,0.88971815771383,Maori (New Zealand),Not specified,Oceania and Antarctica,New Zealand
New Zealand,0–10 years,00–44,Female,Arthritis,552.0,49488.0,1.11542192046556,Maori (New Zealand),Not specified,Oceania and Antarctica,New Zealand
New Zealand,0–10 years,45–64,Persons,Arthritis,1323.0,17280.0,7.65625,Maori (New Zealand),Not specified,Oceania and Antarctica,New Zealand
New Zealand,0–10 years,45–64,Male,Arthritis,427.0,8301.0,5.14395855920973,Maori (New Zealand),Not specified,Oceania and Antarctica,New Zealand
New Zealand,0–10 years,45–64,Female,Arthritis,896.0,8979.0,9.97883951442254,Maori (New Zealand),Not specified,Oceania and Antarctica,New Zealand
New Zealand,0–10 years,65 and over,Persons,Arthritis,914.0,3779.0,24.1862926700185,Maori (New Zealand),Not specified,Oceania and Antarctica,New Zealand
New Zealand,0–10 years,65 and over,Male,Arthritis,294.0,1673.0,17.5732217573221,Maori (New Zealand),Not specified,Oceania and Antarctica,New Zealand
New Zealand,0–10 years,65 and over,Female,Arthritis,620.0,2106.0,29.4396961063627,Maori (New Zealand),Not specified,Oceania and Antarctica,New Zealand
New Zealand,More than 10 years,00–44,Persons,Arthritis,3164.0,140309.0,2.25502284244061,Maori (New Zealand),Not specified,Oceania and Antarctica,New Zealand
New Zealand,More than 10 years,00–44,Male,Arthritis,1346.0,70347.0,1.91337228311086,Maori (New Zealand),Not specified,Oceania and Antarctica,New Zealand
New Zealand,More than 10 years,00–44,Female,Arthritis,1818.0,69962.0,2.59855350047168,Maori (New Zealand),Not specified,Oceania and Antarctica,New Zealand
New Zealand,More than 10 years,45–64,Persons,Arthritis,18831.0,157151.0,11.982742712423,Maori (New Zealand),Not specified,Oceania and Antarctica,New Zealand
New Zealand,More than 10 years,45–64,Male,Arthritis,7446.0,78602.0,9.4730413984377,Maori (New Zealand),Not specified,Oceania and Antarctica,New Zealand
