Feature,Importance
categorical__Long-term health condition (LTHC)_One or more long-term health condition(s),0.4589930693237819
categorical__Age group_65 and over,0.30092164539615157
categorical__Age group_45–64,0.05225973877464083
categorical__Long-term health condition (LTHC)_Arthritis,0.02286167669777334
categorical__Long-term health condition (LTHC)_Diabetes,0.0222309295619471
categorical__Long-term health condition (LTHC)_Any other long-term health condition(s),0.016240460610659303
categorical__Years spent in Australia_0–10 years,0.013284453864148144
categorical__Long-term health condition (LTHC)_Heart disease or stroke,0.010831935297326118
categorical__Age group_00–44,0.010218803719923225
categorical__Region_class_North-East Asia,0.009636466192123673
categorical__Long-term health condition (LTHC)_Heart disease,0.008466664501498657
categorical__Proficiency in spoken English_Not well or Not at all,0.006797136991278566
categorical__Language used at home_Auslan,0.005424057729902717
categorical__Subregion_class_Southern Asia,0.005210769169137552
"categorical__Language used at home_Sign Languages, nfd",0.004364464112300675
categorical__Region_class_South-East Asia,0.00411166641264285
categorical__Years spent in Australia_More than 10 years,0.003673227515257473
categorical__Region_class_North Africa and the Middle East,0.003206294237037902
categorical__Long-term health condition (LTHC)_Mental health condition,0.003013033112853808
categorical__Long-term health condition (LTHC)_Asthma,0.0023939566625033435
"categorical__Country of birth of person_Americas, nfd",0.002233034321392744
categorical__Subregion_class_Polynesia,0.002216856882591774
categorical__Sex_Female,0.002188144664199042
categorical__Country of birth of person_India,0.0017749640867369882
categorical__Region_class_North-West Europe,0.0017696836823049855
categorical__Region_class_Oceania and Antarctica,0.001618338345451581
categorical__Sex_Male,0.0014910585154908175
categorical__Region_class_Southern and Eastern Europe,0.001418375594387275
categorical__Country of birth of person_Iraq,0.0013771003020673746
categorical__Subregion_class_Mainland South-East Asia,0.0011336789695928205
categorical__Subregion_class_Americas (nfd),0.001065592043412388
categorical__Region_class_Southern and Central Asia,0.0009726281516993691
categorical__Language used at home_Nepali,0.0009271344011289174
categorical__Language used at home_.ATSI lang,0.0009237401813068331
categorical__Proficiency in spoken English_Very well or well,0.0008808347311862825
categorical__Subregion_class_United Kingdom,0.0008200888249412095
