Feature,Importance,Coefficient
categorical__Long-term health condition (LTHC)_One or more long-term health condition(s),28.743792424348953,28.743792424348953
categorical__Language used at home_Kashmiri,17.516456041232903,-17.516456041232903
categorical__Country of birth of person_Bhutan,15.134943067086308,15.134943067086308
categorical__Language used at home_Rohingya,13.393251308332193,-13.393251308332193
"categorical__Language used at home_Indo-Aryan, nfd",11.421538987898806,-11.421538987898806
categorical__Language used at home_Igbo,10.401789344726044,-10.401789344726044
categorical__Language used at home_Luganda,10.029485432793516,-10.029485432793516
"categorical__Language used at home_Sign Languages, nfd",9.878823210004652,9.878823210004652
categorical__Language used at home_Tibetan,9.718287912671638,-9.718287912671638
"categorical__Country of birth of person_Samoa, American",9.712419981877966,-9.712419981877966
categorical__Country of birth of person_Tuvalu,9.512559764357475,-9.512559764357475
categorical__Language used at home_Tuvaluan,9.512559764357475,-9.512559764357475
categorical__Long-term health condition (LTHC)_Dementia,9.379362508286889,-9.379362508286889
categorical__Country of birth of person_United Arab Emirates,8.99586690542628,-8.99586690542628
categorical__Age group_65 and over,8.867068909218597,8.867068909218597
categorical__Language used at home_Tulu,8.652370735109418,-8.652370735109418
categorical__Country of birth of person_Eswatini,8.387167929640553,8.387167929640553
categorical__Age group_00–44,8.120981752126468,-8.120981752126468
"categorical__Language used at home_Southeast Asian Austronesian Languages, nec",7.691956448872524,-7.691956448872524
categorical__Long-term health condition (LTHC)_Stroke,7.587872737043273,-7.587872737043273
categorical__Language used at home_Pampangan,7.5492210833964535,-7.5492210833964535
categorical__Language used at home_Afrikaans,7.291352351005417,7.291352351005417
"categorical__Country of birth of person_Southern Asia, nfd",7.284561341575775,-7.284561341575775
categorical__Long-term health condition (LTHC)_Lung condition,7.243323840019853,-7.243323840019853
categorical__Language used at home_Zulu,7.235830444531313,-7.235830444531313
"categorical__Language used at home_Southern Asian Languages, nfd",7.197710978399207,7.197710978399207
categorical__Country of birth of person_Samoa,6.942928475770165,6.942928475770165
categorical__Country of birth of person_Honduras,6.906631680904464,-6.906631680904464
"categorical__Language used at home_Burmese and Related Languages, nfd",6.797911745690667,6.797911745690667
categorical__Language used at home_Yoruba,6.699743600198915,6.699743600198915
categorical__Long-term health condition (LTHC)_Kidney disease,6.6945054190362505,-6.6945054190362505
categorical__Country of birth of person_Nicaragua,6.584220951902008,6.584220951902008
categorical__Language used at home_Uygur,6.172562471627575,6.172562471627575
"categorical__Language used at home_Non-verbal, so described",6.109802105400392,-6.109802105400392
categorical__Language used at home_Hakka,5.9114818701323655,5.9114818701323655
categorical__Language used at home_Oriya,5.878463262343098,-5.878463262343098
categorical__Language used at home_Acholi,5.652098948613646,5.652098948613646
categorical__Country of birth of person_Namibia,5.528087990862689,-5.528087990862689
"categorical__Country of birth of person_Congo, Republic of",5.357676543013023,-5.357676543013023
categorical__Country of birth of person_Rwanda,5.258477693472366,-5.258477693472366
categorical__Language used at home_Kinyarwanda (Rwanda),5.258477693472366,-5.258477693472366
categorical__Language used at home_Kannada,5.061123271644314,5.061123271644314
categorical__Language used at home_Tamil,5.013756542006246,5.013756542006246
categorical__Language used at home_Burmese,4.955804563363165,4.955804563363165
categorical__Language used at home_Sindhi,4.795613804045599,-4.795613804045599
"categorical__Country of birth of person_Maritime South-East Asia, nfd",4.695992946851391,-4.695992946851391
categorical__Country of birth of person_Paraguay,4.6028077415981405,4.6028077415981405
categorical__Long-term health condition (LTHC)_Diabetes,4.449013934717321,4.449013934717321
categorical__Country of birth of person_India,4.40421577235518,-4.40421577235518
categorical__Country of birth of person_Uganda,4.377386484179878,-4.377386484179878
categorical__Long-term health condition (LTHC)_Cancer,4.279982458736556,-4.279982458736556
categorical__Language used at home_Timorese,4.198430676815725,-4.198430676815725
