Feature,Importance
categorical__Long-term health condition (LTHC)_One or more long-term health condition(s),0.4414596740919765
categorical__Age group_65 and over,0.2897767430948281
categorical__Age group_45–64,0.032249930849144924
categorical__Age group_00–44,0.027988412363149445
categorical__Long-term health condition (LTHC)_Diabetes,0.023076743526852926
categorical__Long-term health condition (LTHC)_Arthritis,0.020611488170093503
categorical__Long-term health condition (LTHC)_Any other long-term health condition(s),0.01579255067800968
categorical__Years spent in Australia_0–10 years,0.01374679805325597
categorical__Long-term health condition (LTHC)_Heart disease or stroke,0.010437719154612456
categorical__Region_class_North-East Asia,0.00944263170367726
categorical__Long-term health condition (LTHC)_Heart disease,0.008128565953951396
categorical__Proficiency in spoken English_Not well or Not at all,0.007290583071506385
categorical__Language used at home_Auslan,0.0055320417764241625
categorical__Subregion_class_Southern Asia,0.004600715372184735
"categorical__Language used at home_Sign Languages, nfd",0.004484883997167004
categorical__Region_class_South-East Asia,0.004484657801616028
categorical__Years spent in Australia_More than 10 years,0.003822769723221352
categorical__Region_class_North Africa and the Middle East,0.0036173039902421948
categorical__Long-term health condition (LTHC)_Mental health condition,0.003436330274214998
categorical__Sex_Female,0.0033590471338267717
categorical__Sex_Male,0.0026235196919589155
categorical__Long-term health condition (LTHC)_Asthma,0.0025492417015450506
categorical__Region_class_North-West Europe,0.0023829377675035914
categorical__Subregion_class_Polynesia,0.0023127133188975534
categorical__Region_class_Southern and Central Asia,0.002216741639594395
categorical__Region_class_Southern and Eastern Europe,0.0020029793162343493
categorical__Region_class_Oceania and Antarctica,0.0018310804304746261
"categorical__Country of birth of person_Americas, nfd",0.0017163319803614996
categorical__Proficiency in spoken English_Very well or well,0.001388713633919743
categorical__Subregion_class_Americas (nfd),0.0013380166912511293
categorical__Country of birth of person_India,0.0013280557293615658
categorical__Subregion_class_Middle East,0.0012237492336220888
categorical__Country of birth of person_Iraq,0.0012089079006075553
categorical__Subregion_class_United Kingdom,0.001198592318663905
categorical__Subregion_class_Mainland South-East Asia,0.0011477235514653244
categorical__Language used at home_.ATSI lang,0.0010830442207367826
categorical__Region_class_Americas,0.0010076973892452603
categorical__Country of birth of person_Philippines,0.0009127552510499646
categorical__Sex_Persons,0.0008970885203139306
categorical__Language used at home_Arabic,0.000872803464383161
categorical__Region_class_Sub-Saharan Africa,0.0008566975928776036
categorical__Language used at home_Punjabi,0.0007814563669750569
categorical__Country of birth of person_Nepal,0.0007330277676862056
categorical__Language used at home_Nepali,0.0006968659214784685
categorical__Language used at home_Gujarati,0.000639133895451467
categorical__Country of birth of person_Afghanistan,0.0005870522405191305
categorical__Country of birth of person_Bhutan,0.0005505654688682776
categorical__Subregion_class_Oceania (nfd),0.0005459226210921323
categorical__Language used at home_Tibetan,0.000544144526678186
categorical__Country of birth of person_Myanmar,0.0005379823251904257
"categorical__Country of birth of person_Oceania and Antarctica, nfd",0.0004857749126039308
categorical__Subregion_class_South America,0.0004805610589404695
categorical__Long-term health condition (LTHC)_Cancer,0.00047367653076393944
categorical__Country of birth of person_Bangladesh,0.00046872928943406567
categorical__Subregion_class_Northern America,0.00045575321037852703
categorical__Language used at home_Bengali,0.0004399753283998987
categorical__Language used at home_Kurdish,0.0004354587622165874
categorical__Country of birth of person_Eritrea,0.0004324781751248105
categorical__Subregion_class_South Eastern Europe,0.0004179095856891898
categorical__Language used at home_Pashto,0.0003984913467441945
categorical__Proficiency in spoken English_Not specified,0.0003933269341570862
"categorical__Language used at home_Non-verbal, so described",0.00036920072206910034
categorical__Subregion_class_Eastern Europe,0.0003653189125192396
categorical__Subregion_class_Southern and East Africa,0.0003465267603146008
categorical__Years spent in Australia_Not specified,0.00033889572301515065
categorical__Subregion_class_Southern Europe,0.0003258279720636262
categorical__Subregion_class_Central Asia,0.0003232434021987781
categorical__Country of birth of person_Egypt,0.0003211946752440195
categorical__Subregion_class_Western Europe,0.00031732678882127023
categorical__Language used at home_Maltese,0.0003145812370092163
categorical__Country of birth of person_Nicaragua,0.0002961250422559695
categorical__Country of birth of person_Malta,0.0002944532974645218
categorical__Long-term health condition (LTHC)_Lung condition,0.0002665275612086155
"categorical__Language used at home_Burmese and Related Languages, nfd",0.00026345610598946343
categorical__Country of birth of person_Iran,0.00025388153779158716
categorical__Long-term health condition (LTHC)_Kidney disease,0.00025021055532037427
categorical__Long-term health condition (LTHC)_Stroke,0.0002493474937900009
categorical__Subregion_class_North Africa,0.00024008827646515227
categorical__Language used at home_Persian (excluding Dari),0.00023096326859091832
categorical__Language used at home_Chaldean Neo-Aramaic,0.00022592932692623832
categorical__Language used at home_Tamil,0.0002239694313517918
categorical__Country of birth of person_Taiwan,0.0002040231987266201
