Feature,Importance
categorical__Long-term health condition (LTHC)_One or more long-term health condition(s),0.27475142
categorical__Age group_65 and over,0.2527338
categorical__Long-term health condition (LTHC)_Arthritis,0.029431794
categorical__Age group_00–44,0.019504672
categorical__Long-term health condition (LTHC)_Heart disease or stroke,0.017490678
categorical__Long-term health condition (LTHC)_Diabetes,0.01743126
categorical__Subregion_class_Southern Asia,0.015664436
categorical__Language used at home_Auslan,0.01390634
"categorical__Language used at home_Sign Languages, nfd",0.012925788
categorical__Long-term health condition (LTHC)_Stroke,0.011802673
categorical__Long-term health condition (LTHC)_Any other long-term health condition(s),0.011055675
"categorical__Country of birth of person_Americas, nfd",0.00979344
categorical__Years spent in Australia_0–10 years,0.008946252
categorical__Long-term health condition (LTHC)_Heart disease,0.00876719
categorical__Long-term health condition (LTHC)_Lung condition,0.008713033
categorical__Region_class_North-East Asia,0.008568043
categorical__Subregion_class_South Eastern Europe,0.0075652828
categorical__Subregion_class_Polynesia,0.0073999623
categorical__Long-term health condition (LTHC)_Kidney disease,0.007370154
categorical__Long-term health condition (LTHC)_Dementia,0.0073693637
categorical__Region_class_Oceania and Antarctica,0.006717933
categorical__Region_class_Southern and Central Asia,0.006341761
categorical__Region_class_North-West Europe,0.0063226204
categorical__Region_class_North Africa and the Middle East,0.006206485
categorical__Region_class_Southern and Eastern Europe,0.006039301
categorical__Region_class_South-East Asia,0.005674929
categorical__Subregion_class_Eastern Europe,0.004501667
categorical__Country of birth of person_Iraq,0.0044743717
"categorical__Country of birth of person_Oceania and Antarctica, nfd",0.0041463943
categorical__Subregion_class_Middle East,0.004035361
categorical__Country of birth of person_India,0.0040162914
categorical__Region_class_Sub-Saharan Africa,0.00393564
categorical__Region_class_Americas,0.003885974
categorical__Subregion_class_United Kingdom,0.003650908
categorical__Language used at home_Pashto,0.003604043
categorical__Language used at home_Arabic,0.0035616127
categorical__Subregion_class_Mainland South-East Asia,0.0033785512
categorical__Country of birth of person_Nepal,0.003243042
categorical__Long-term health condition (LTHC)_Mental health condition,0.0032082186
categorical__Proficiency in spoken English_Not well or Not at all,0.0031672614
categorical__Country of birth of person_Malta,0.0030641167
categorical__Years spent in Australia_More than 10 years,0.0029655593
categorical__Country of birth of person_Afghanistan,0.0027729638
categorical__Language used at home_Gujarati,0.002753809
categorical__Country of birth of person_Philippines,0.0026835066
categorical__Long-term health condition (LTHC)_Asthma,0.002677266
categorical__Language used at home_Punjabi,0.0025209915
categorical__Country of birth of person_Egypt,0.002457946
categorical__Country of birth of person_Thailand,0.0024106198
categorical__Country of birth of person_Myanmar,0.0023658583
categorical__Subregion_class_Western Europe,0.0023620352
categorical__Country of birth of person_Nicaragua,0.0023552715
categorical__Country of birth of person_Bangladesh,0.0023518868
categorical__Country of birth of person_Pitcairn Islands,0.002350964
categorical__Subregion_class_South America,0.002310396
categorical__Subregion_class_Japan and the Koreas,0.0023052152
categorical__Sex_Female,0.0022718061
categorical__Subregion_class_Northern America,0.0022613972
categorical__Country of birth of person_Eritrea,0.0022527622
categorical__Country of birth of person_Tanzania,0.0021321063
