,Country of birth of person,Years spent in Australia,Age group,Sex,Long-term health condition (LTHC),Number of people reporting LTHC(s),Population,Age-specific percentage of population reporting LTHC(s),Language used at home,Proficiency in spoken English
0,"Oceania and Antarctica, nfd",0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,.ATSI lang,Not specified
1,"Oceania and Antarctica, nfd",0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,.ATSI lang,Not specified
2,"Oceania and Antarctica, nfd",0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,.ATSI lang,Not specified
3,"Oceania and Antarctica, nfd",0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,.ATSI lang,Not specified
4,"Oceania and Antarctica, nfd",0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,.ATSI lang,Not specified
5,"Oceania and Antarctica, nfd",0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,.ATSI lang,Not specified
6,"Oceania and Antarctica, nfd",0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,.ATSI lang,Not specified
7,"Oceania and Antarctica, nfd",0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,.ATSI lang,Not specified
8,"Oceania and Antarctica, nfd",0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,.ATSI lang,Not specified
9,"Oceania and Antarctica, nfd",More than 10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,.ATSI lang,Not specified
10,"Oceania and Antarctica, nfd",More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,.ATSI lang,Not specified
11,"Oceania and Antarctica, nfd",More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,.ATSI lang,Not specified
12,"Oceania and Antarctica, nfd",More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,.ATSI lang,Not specified
13,"Oceania and Antarctica, nfd",More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,.ATSI lang,Not specified
14,"Oceania and Antarctica, nfd",More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,.ATSI lang,Not specified
15,"Oceania and Antarctica, nfd",More than 10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,.ATSI lang,Not specified
16,"Oceania and Antarctica, nfd",More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,.ATSI lang,Not specified
17,"Oceania and Antarctica, nfd",More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,.ATSI lang,Not specified
18,New Zealand,0–10 years,00–44,Persons,Arthritis,1005.0,100403.0,1.00096610659044,Maori (New Zealand),Not specified
19,New Zealand,0–10 years,00–44,Male,Arthritis,453.0,50915.0,0.88971815771383,Maori (New Zealand),Not specified
20,New Zealand,0–10 years,00–44,Female,Arthritis,552.0,49488.0,1.11542192046556,Maori (New Zealand),Not specified
21,New Zealand,0–10 years,45–64,Persons,Arthritis,1323.0,17280.0,7.65625,Maori (New Zealand),Not specified
22,New Zealand,0–10 years,45–64,Male,Arthritis,427.0,8301.0,5.14395855920973,Maori (New Zealand),Not specified
23,New Zealand,0–10 years,45–64,Female,Arthritis,896.0,8979.0,9.97883951442254,Maori (New Zealand),Not specified
24,New Zealand,0–10 years,65 and over,Persons,Arthritis,914.0,3779.0,24.1862926700185,Maori (New Zealand),Not specified
25,New Zealand,0–10 years,65 and over,Male,Arthritis,294.0,1673.0,17.5732217573221,Maori (New Zealand),Not specified
26,New Zealand,0–10 years,65 and over,Female,Arthritis,620.0,2106.0,29.4396961063627,Maori (New Zealand),Not specified
27,New Zealand,More than 10 years,00–44,Persons,Arthritis,3164.0,140309.0,2.25502284244061,Maori (New Zealand),Not specified
28,New Zealand,More than 10 years,00–44,Male,Arthritis,1346.0,70347.0,1.91337228311086,Maori (New Zealand),Not specified
29,New Zealand,More than 10 years,00–44,Female,Arthritis,1818.0,69962.0,2.59855350047168,Maori (New Zealand),Not specified
30,New Zealand,More than 10 years,45–64,Persons,Arthritis,18831.0,157151.0,11.982742712423,Maori (New Zealand),Not specified
31,New Zealand,More than 10 years,45–64,Male,Arthritis,7446.0,78602.0,9.4730413984377,Maori (New Zealand),Not specified
32,New Zealand,More than 10 years,45–64,Female,Arthritis,11385.0,78549.0,14.4941374174082,Maori (New Zealand),Not specified
33,New Zealand,More than 10 years,65 and over,Persons,Arthritis,21824.0,77154.0,28.2862845737097,Maori (New Zealand),Not specified
34,New Zealand,More than 10 years,65 and over,Male,Arthritis,8702.0,38812.0,22.4209007523446,Maori (New Zealand),Not specified
35,New Zealand,More than 10 years,65 and over,Female,Arthritis,13122.0,38342.0,34.2235668457566,Maori (New Zealand),Not specified
36,"Melanesia, nfd",0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
37,"Melanesia, nfd",0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
38,"Melanesia, nfd",0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
39,"Melanesia, nfd",0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
40,"Melanesia, nfd",0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
41,"Melanesia, nfd",0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
42,"Melanesia, nfd",0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
43,"Melanesia, nfd",0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
44,"Melanesia, nfd",0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
45,"Melanesia, nfd",More than 10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
46,"Melanesia, nfd",More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
47,"Melanesia, nfd",More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
48,"Melanesia, nfd",More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
49,"Melanesia, nfd",More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
50,"Melanesia, nfd",More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
51,"Melanesia, nfd",More than 10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
52,"Melanesia, nfd",More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
53,"Melanesia, nfd",More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
54,New Caledonia,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,French,Not specified
55,New Caledonia,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,French,Not specified
56,New Caledonia,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,French,Not specified
57,New Caledonia,0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,French,Not specified
58,New Caledonia,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,French,Not specified
59,New Caledonia,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,French,Not specified
60,New Caledonia,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,French,Not specified
61,New Caledonia,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,French,Not specified
62,New Caledonia,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,French,Not specified
63,New Caledonia,More than 10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,French,Not specified
64,New Caledonia,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,French,Not specified
65,New Caledonia,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,French,Not specified
66,New Caledonia,More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,French,Not specified
67,New Caledonia,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,French,Not specified
68,New Caledonia,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,French,Not specified
69,New Caledonia,More than 10 years,65 and over,Persons,Arthritis,75.0,289.0,25.9515570934256,French,Not specified
70,New Caledonia,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,French,Not specified
71,New Caledonia,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,French,Not specified
72,Papua New Guinea,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified
73,Papua New Guinea,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified
74,Papua New Guinea,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified
75,Papua New Guinea,0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified
76,Papua New Guinea,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified
77,Papua New Guinea,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified
78,Papua New Guinea,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified
79,Papua New Guinea,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified
80,Papua New Guinea,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified
81,Papua New Guinea,More than 10 years,00–44,Persons,Arthritis,120.0,6479.0,1.85213767556721,"Papua New Guinea Languages, nfd",Not specified
82,Papua New Guinea,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified
83,Papua New Guinea,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified
84,Papua New Guinea,More than 10 years,45–64,Persons,Arthritis,1469.0,13395.0,10.9667786487495,"Papua New Guinea Languages, nfd",Not specified
85,Papua New Guinea,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified
86,Papua New Guinea,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified
87,Papua New Guinea,More than 10 years,65 and over,Persons,Arthritis,940.0,3773.0,24.9138616485555,"Papua New Guinea Languages, nfd",Not specified
88,Papua New Guinea,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified
89,Papua New Guinea,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified
90,Solomon Islands,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified
91,Solomon Islands,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified
92,Solomon Islands,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified
